1, 2
2, 3
3, 4
4, 5
5, 7
6, 8
7, 9
8, 10
9, 26
11, stairwell B
12, 12
13, 13
14, 15
15, 17
16, 19
17, water cooler
18, file room
19, restrooms
20, electrical
21, main stairwell
22, elevator
23, 24 backdoor
25, 24
26,  11
27, stairwell A
28, 14
29, 16
30, mechanical
31, 28
32, 18
33,   
